,latitude,longitude
56p117040,51.511672,-0.148287
56p117044,51.5269,-0.164411
56p117046,51.484652,-0.178798
56p117047,51.515294,-0.166473
56p117048,51.515776,-0.150773
56p117050,51.479267,-0.16573
56p117053,51.543681,-0.156438
56p117054,51.51385,-0.138183
56p117056,51.509898,-0.148691
56p117063,51.520027,-0.136965
56p117064,51.50021,-0.16096
56p117072,51.520404,-0.670205
56p117073,51.462594,-0.127558
56p117079,51.514843,-0.156071
56p117080,51.481719,-0.184599
56p117082,51.574025,-0.208866
56p117087,51.495584,-0.134508
56p117092,51.512682,-0.157488
56p117093,51.58458,-0.010187
56p117094,51.523333,-0.159592
56p117095,51.451558,-0.084529
56p117099,51.451558,-0.084529
56p117104,51.513739,-0.174563
56p117108,51.531794,-0.194242
56p117110,51.484527,-0.199869
56p117115,51.59685,-0.063666
56p117118,51.487733,-0.140269
56p117121,51.508883,0.023765
56p117125,51.516995,-0.148835
56p117126,51.537421,-0.194683
56p117127,51.573199,-0.135831
56p117132,51.488132,-0.150134
56p117139,51.534052,-0.174389
56p117148,51.519923,-0.15085
56p117149,51.529318,-0.205139
56p117151,51.541962,-0.210496
56p117152,51.488132,-0.150134
56p117153,51.524349,-0.166456
56p117154,51.522611,-0.084045
56p117156,51.527012,-0.204927
56p117159,51.523566,-0.166386
56p117160,51.505896,-0.211727
56p117164,51.467875,-0.079858
56p117165,52.119372,-0.460763
56p117168,52.190972,0.128017
56p117170,51.518777,-0.158608
56p117171,51.509845,-0.19488
56p117172,51.513494,-0.156068
56p117176,51.500688,-0.156585
56p117178,51.545251,0.047041
56p117185,51.51298,-0.155397
56p117191,51.503452,-0.024172
56p117192,51.272249,-0.431965
56p117196,51.504946,-0.240592
56p117403,51.512892,-0.165258
56p117405,51.546806,-0.070219
56p117408,51.514212,-0.18593
56p117411,51.525961,-0.097136
56p117416,51.453244,-0.1589
56p117418,51.531369,-0.11685
56p117420,51.454277,-0.145703
56p117422,51.509689,-0.153138
56p117426,51.51653,-0.169609
56p117430,51.479014,-0.113463
56p117433,51.52148,-0.158398
56p117439,51.512754,-0.155305
56p117443,51.55452,-0.232189
56p117444,51.504094,-0.198666
56p117454,51.500874,-0.218537
56p117462,51.37139,-0.247814
56p117477,51.517051,-0.156933
56p117478,51.516452,-0.156021
56p117479,51.515776,-0.150773
56p117481,51.542282,-0.229808
56p117486,51.517439,-0.134148
56p117488,51.549256,-0.061692
56p117489,51.483378,-0.183712
56p117490,51.533016,-0.111177
56p117501,51.525716,-0.162999
56p117506,51.50783,-0.152694
56p117510,51.509263,-0.152237
56p117511,51.525716,-0.162999
56p117512,51.489275,-0.205694
56p117513,51.516062,-0.166125
56p117514,51.532449,-0.183071
56p117515,51.515401,-0.153238
56p117518,51.519029,-0.177527
56p117521,51.514773,-0.159029
56p117524,51.519029,-0.177527
56p117525,51.513726,-0.191743
56p117526,51.514974,-0.155244
56p117528,51.439147,-0.152834
56p117550,51.516062,-0.166125
56p117559,51.537082,-0.180277
56p117561,51.450286,-0.00718
56p117562,51.512559,-0.154924
56p117563,51.535537,-0.166511
56p117564,51.514901,-0.181075
56p117565,51.518738,-0.167056
56p117601,51.51834,-0.171385
56p117605,51.51385,-0.138183
56p117610,51.521608,-0.172739
56p117611,51.527974,-0.075009
56p117614,51.435466,-0.17911
56p117618,51.507841,-0.242945
56p117619,51.512915,-0.166137
56p117624,51.526128,-0.174414
56p117627,51.66909,-0.396543
56p117629,51.500403,-0.160213
56p117631,51.50438,-0.209116
56p117638,51.541382,-0.174049
56p117640,51.514448,-0.035817
56p117654,51.52066,-0.202351
56p117655,51.51298,-0.155397
56p117657,51.513432,-0.141846
56p117661,51.537467,-0.207053
56p117665,51.516483,-0.163139
56p117666,51.478066,-0.073874
56p117668,51.518738,-0.167056
56p117670,51.50652,-0.140917
56p117677,51.532741,-0.177523
56p117679,51.485948,-0.197514
56p117680,51.512838,-0.14641
56p117682,51.515537,-0.167631
56p117685,51.553105,-0.171517
56p117689,51.516174,-0.161221
56p117690,51.515537,-0.167631
56p117704,51.513852,-0.173175
56p117707,51.491669,-0.176713
56p117709,51.447729,-0.201015
56p117712,51.518738,-0.167056
56p117713,51.516856,-0.165142
56p117714,51.518738,-0.167056
56p117715,51.534015,-0.169239
56p117716,51.531525,-0.178019
56p117717,51.546327,-0.202494
56p117727,51.497874,-0.164555
56p117741,51.457884,-0.171539
56p117744,51.551562,-0.329809
56p117748,51.503419,-0.208015
56p117750,51.500724,-0.010155
56p117801,51.519088,-0.152109
56p117805,51.524978,-0.097552
56p117809,51.508678,-0.153986
56p117812,51.515247,-0.16058
56p117814,51.499565,-0.157769
56p117815,51.507464,-0.057673
56p117816,51.514236,-0.160362
56p117822,51.515509,-0.178514
56p117824,51.517925,-0.157648
56p117827,51.528979,-0.144053
56p117828,51.520847,-0.158178
56p117829,51.487694,-0.060689
56p117834,51.517051,-0.156933
56p117836,51.494384,-0.128719
56p117837,51.498854,-0.183111
56p117840,51.472848,-0.030547
56p117842,51.602008,0.091167
56p117843,51.443578,0.30338
56p117846,51.514244,-0.166462
56p117851,51.506545,-0.297118
56p117856,51.521063,-0.171824
56p117870,51.514449,-0.157734
56p117874,51.53957,-0.023775
56p117875,51.479018,-0.168091
56p117878,51.485023,-0.179614
56p117884,51.562289,-0.377805
56p117889,51.513157,-0.15637
56p117897,51.543687,-0.18408
56p117901,51.521812,-0.111378
56p117902,51.501069,-0.266503
56p117905,51.4692,-0.145443
56p117909,51.337708,-0.109367
56p117911,51.487274,-0.161908
56p117916,51.593209,-0.332388
56p117920,51.54261,-0.172038
56p117923,51.497612,-0.166895
56p117928,51.452937,-0.199918
56p117936,51.452937,-0.199918
56p117940,51.491137,-0.133778
56p117944,51.500874,-0.218537
56p118008,51.427008,-0.110557
56p118015,51.514141,-0.179635
56p118029,51.513203,-0.154585
56p118030,51.464798,-0.158726
56p118031,51.519345,-0.218719
56p118036,51.491232,-0.130173
56p118039,51.518752,-0.170269
56p118046,51.52104,-0.158444
56p118048,51.513546,-0.146208
56p118049,51.513546,-0.146208
56p118058,51.498781,-0.227128
56p118059,51.513546,-0.146208
56p118061,51.497612,-0.166895
56p118062,51.513546,-0.146208
56p118063,51.513546,-0.146208
56p118073,51.537921,-0.185132
56p118081,51.498781,-0.227128
56p118083,51.525149,-0.161825
56p118084,51.51653,-0.169609
56p118086,51.516603,-0.180056
56p118087,51.486659,-0.204668
56p118088,51.484699,-0.121424
56p118092,51.511601,-0.148813
56p118094,51.511601,-0.148813
56p118095,51.46894,-0.146044
56p118096,51.488592,-0.190606
56p118097,51.507932,-0.149462
56p118105,51.518666,-0.156738
56p118106,51.569792,0.015458
56p118110,51.509765,-0.152832
56p118125,51.532896,-0.169616
56p118126,51.520017,-0.139214
56p118133,51.512154,-0.201202
56p118136,51.512608,-0.154508
56p118138,51.522286,-0.262359
56p118139,51.540266,0.041525
56p118140,51.540266,0.041525
56p118145,51.5,-0.159149
56p118150,51.293199,-0.200435
56p118152,51.515247,-0.16058
56p118169,51.50773,-0.10507
56p118170,51.516319,-0.16071
56p118171,51.513152,-0.163393
56p118172,51.567945,-0.198423
56p118174,51.652529,-0.38203
56p118175,51.526152,-0.111717
56p118177,51.592115,-0.191923
56p118178,51.50869,-0.23708
56p118180,51.512827,-0.155839
56p118181,51.567945,-0.198423
56p118182,51.512152,-0.147346
56p118191,51.478853,-0.203419
56p118192,51.457383,-0.190861
56p118197,51.657357,-0.207115
56p118198,51.514432,-0.179811
56p118200,51.437227,-0.157058
56p118202,51.498373,-0.159762
56p118205,51.52214,-0.159178
56p118206,51.196526,0.219452
56p118207,51.529287,-0.281642
56p118225,51.581128,0.093615
56p118226,51.514999,-0.161441
56p118229,51.446535,-0.155402
56p118231,51.588955,-0.109277
56p118233,51.498924,-0.160421
56p118236,51.515509,-0.178514
56p118244,51.513781,-0.153005
56p118247,51.402702,-0.051346
56p118256,51.513546,-0.146208
56p118258,51.46328,-0.18581
56p118261,51.515748,-0.164999
56p118265,51.50773,-0.10507
56p118267,51.514705,-0.167755
56p118268,51.511988,-0.147799
56p118269,51.51133,-0.094247
56p118270,51.513157,-0.15637
56p118271,51.404947,-0.178051
56p118280,51.513546,-0.146208
56p118284,51.513546,-0.146208
56p118299,51.376698,-0.095806
56p118302,51.513546,-0.146208
56p118304,51.513546,-0.146208
56p118310,51.514547,-0.172071
56p118311,51.50783,-0.152694
56p118320,51.519158,-0.168048
56p118321,51.520916,-0.146557
56p118326,51.525998,-0.162612
56p118331,51.514843,-0.156071
56p118337,51.51544,-0.163138
56p118339,51.526637,-0.179958
56p118340,51.529639,-0.100501
56p118341,51.518352,-0.194889
56p118342,51.537736,-0.183596
56p118349,51.537736,-0.183596
56p118352,51.404356,-0.059975
56p118356,51.514945,-0.157998
56p118357,51.453672,-0.115084
56p118360,51.51209,-0.173668
56p118363,51.514133,-0.165281
56p118365,51.514133,-0.165281
56p118376,51.51847,-0.15187
56p118377,51.452844,0.001553
56p118378,51.51653,-0.169609
56p118379,51.513701,-0.1509
56p118381,51.510674,-0.185667
56p118388,51.513368,-0.161766
56p118389,51.514595,-0.178723
56p118393,51.502062,-0.094544
56p118394,51.546989,-0.010616
56p118395,51.53641,-0.178126
56p118398,51.468674,-0.178354
56p118413,51.486011,-0.208165
56p118415,51.512827,-0.155839
56p118420,51.520749,-0.171851
56p118427,51.546653,0.00698
56p118429,51.513546,-0.146208
56p118430,51.620674,-0.097958
56p118461,51.513546,-0.146208
56p118462,51.513546,-0.146208
56p118463,51.433666,0.022842
56p118464,51.513701,-0.1509
56p118467,51.506132,-0.148815
56p118474,51.513884,-0.145895
56p118476,51.513546,-0.146208
56p118477,51.477197,0.022507
56p118484,51.546432,-0.228742
56p118486,51.561371,-0.300221
56p118487,51.278279,-0.36397
56p118490,51.506526,-0.224897
56p118497,51.592524,-0.193914
56p118504,51.512154,-0.201202
56p118506,51.487449,0.012013
56p118507,51.540266,0.041525
56p118509,51.493096,-0.196814
56p118511,51.522407,-0.194325
56p118516,51.526467,-0.901215
56p118518,51.522407,-0.194325
56p118520,51.521715,-0.178626
56p118523,51.48701,-0.188278
56p118526,51.520795,-0.160602
56p118528,51.402903,-0.207634
56p118529,51.548962,-0.224962
56p118532,51.522797,-0.1852
56p118537,51.523064,-0.200195
56p118538,51.500791,-0.159693
56p118539,51.51334,-0.166321
56p118541,51.51774,-0.141916
56p118542,51.504252,-0.115335
56p118547,51.533582,-0.170352
56p118550,51.434101,-0.040331
56p118551,51.511454,-0.155574
56p118555,51.504756,-0.148111
56p118558,51.524232,-0.176699
56p118561,51.380761,-0.310311
56p118566,52.666374,1.257164
56p118569,51.522057,-0.148169
56p118574,51.372696,-0.355291
56p118577,51.514843,-0.156071
56p118579,51.632244,-0.735222
56p118588,51.513368,-0.161766
56p118594,51.507269,-0.151333
56p118596,51.504252,-0.115335
56p118597,51.440458,-0.133399
56p118598,51.525998,-0.162612
56p118602,51.543013,-0.057227
56p118604,51.513494,-0.156068
56p118612,51.508984,-0.146033
56p118615,51.519298,-0.154608
56p118617,51.514843,-0.156071
56p118618,51.609632,0.061765
56p118633,51.612174,-0.172932
56p118637,51.522672,-0.149978
56p118641,51.50773,-0.10507
56p118642,51.514093,-0.133114
56p118649,51.516934,-0.130245
56p118650,51.490694,-0.175887
56p118651,51.514925,-0.075501
56p118654,51.533285,-0.179592
56p118655,51.513494,-0.156068
56p118656,51.586249,-0.102846
56p118657,51.514828,-0.164849
56p118659,51.512884,-0.176269
56p118661,51.519187,-0.152105
56p118662,51.547607,-0.137584
56p118665,51.559761,0.123162
56p118667,51.478472,-0.113903
56p118678,51.50773,-0.10507
56p118680,51.604386,-0.854129
56p118685,51.495508,-0.179599
56p118686,51.506132,-0.148815
56p118690,51.505374,-0.195388
56p118691,51.517661,0.038785
56p118698,51.513818,0.006212
56p118706,51.47198,-0.131252
56p118707,51.497649,-0.22007
56p118709,51.579336,-0.335105
56p118714,51.489948,-0.208616
56p118718,51.528375,-0.166251
56p118719,51.475683,-0.203141
56p118721,51.522672,-0.149978
56p118722,51.514044,-0.155541
56p118730,51.514044,-0.155541
56p118733,52.466455,-1.914008
56p118734,51.521296,-0.157555
56p118735,51.51349,-0.15467
56p118809,51.51298,-0.155397
56p118810,51.51653,-0.169609
56p118823,51.528889,-0.090815
56p118825,51.530181,-0.111796
56p118827,51.518934,-0.163502
56p118828,51.54722,-0.0911
56p118830,51.502951,-0.467394
56p118832,51.542304,-0.189976
56p118836,51.51118,-0.15318
56p118841,51.479093,-0.116139
56p118846,51.50081,-0.187471
56p118849,51.509521,-0.151026
56p118850,51.512682,-0.157488
56p118851,51.516173,-0.150858
56p118858,51.603816,0.039537
56p118863,51.513157,-0.15637
56p118866,51.512682,-0.157488
56p118867,51.436446,-0.169247
56p118872,51.514843,-0.156071
56p118873,51.511868,-0.149274
56p118876,51.423842,-0.032959
56p118878,51.403725,-0.11445
56p118879,51.517661,-0.142048
56p118880,51.511868,-0.149274
56p118883,51.518657,-0.156724
