,latitude,longitude
56p119746,51.51136,-0.056744
56p119749,51.503699,-0.227053
56p119751,51.513157,-0.15637
56p119752,51.513157,-0.15637
56p119753,51.513566,-0.049748
56p119755,51.516038,-0.15941
56p119756,51.513157,-0.15637
56p119760,51.536457,-0.160403
56p119761,51.522483,-0.166016
56p119764,51.514525,-0.167902
56p119766,51.629612,-0.012077
56p119767,51.500968,-0.271743
56p119777,51.51133,-0.094247
56p119778,51.51834,-0.17141
56p119779,51.566485,-0.236082
56p119788,51.50817,-0.149164
56p119791,51.526487,-0.166889
56p119793,51.545188,-0.158652
56p119794,51.515339,-0.162436
56p119797,51.514044,-0.155541
56p119799,51.685288,-0.038093
56p119806,51.551404,0.042255
56p119808,51.539998,-0.025199
56p120002,51.497486,-0.068788
56p120204,51.578524,-0.210417
56p120402,51.578524,-0.210417
56p120404,51.513018,-0.182494
56p120408,51.441383,0.083359
56p120409,51.517863,-0.187562
56p120411,51.552244,-0.097989
56p120413,51.516445,-0.160143
56p120417,51.480315,-0.277472
56p120418,51.524218,-0.190448
56p120428,51.516051,-0.17927
56p120434,56.339327,-2.793155
56p120435,51.514642,-0.168503
56p120438,51.51472,-0.167145
56p120440,51.517108,-0.168058
56p120441,51.513157,-0.15637
56p120444,51.531772,-0.203355
56p120449,51.512063,-0.149122
56p120450,51.563245,-0.073898
56p120451,51.513999,-0.159607
56p120452,51.494632,-0.077393
56p120455,51.518258,-0.164553
56p120460,51.514706,-0.15991
56p120473,51.546597,-0.130572
56p120476,51.515447,-0.164204
56p120478,51.515815,-0.168153
56p120479,51.519379,-0.17401
56p120483,51.513032,-0.157009
56p120487,51.517591,-0.147817
56p120491,51.515447,-0.164204
56p120492,51.509765,-0.152832
56p120601,51.511473,-0.118233
56p120606,51.535192,-0.183683
56p120607,51.525745,-0.15566
56p120610,51.510815,-0.153813
56p120611,51.536136,0.029228
56p120613,51.525745,-0.15566
56p120616,51.513739,-0.174563
56p120618,51.488522,0.164375
56p120619,51.494432,-0.136842
56p120620,51.494432,-0.136842
56p120630,51.508678,-0.153986
56p120632,51.508678,-0.153986
56p120638,51.500574,-0.091018
56p120639,51.508678,-0.153986
56p120644,51.513157,-0.15637
56p120652,51.497713,-0.159418
56p120653,51.52227,-0.161768
56p120657,51.621147,-0.289182
56p120658,51.515748,-0.164999
56p120659,51.918772,-0.161161
56p120668,51.464802,-0.142526
56p120670,51.225467,-0.563729
56p120672,51.513157,-0.15637
56p120673,51.526487,-0.166889
56p120675,51.518934,-0.163502
56p120680,51.519461,-0.167257
56p120682,51.516064,-0.162796
56p120686,51.511453,-0.145227
56p120690,51.482066,-0.135564
56p120692,51.514236,-0.160362
56p120700,51.513157,-0.15637
56p120802,51.515713,-0.162767
56p120806,51.495634,-0.069301
56p120809,51.524207,-0.161416
56p120810,51.411138,-0.144515
56p120811,51.475535,-0.15527
56p120813,51.52652,-0.183437
56p120817,51.518865,-0.169429
56p120818,51.565553,-0.126087
56p120820,51.496177,-0.179721
56p120830,51.512682,-0.157488
56p120832,51.495373,-0.147421
56p120842,51.013332,-2.424415
56p120844,51.48496,-0.157119
56p120846,51.508223,-0.007955
56p120848,51.521704,-0.151484
56p120849,51.482954,-0.183613
56p120850,51.510654,-0.071577
56p120851,51.46301,-0.189545
56p120860,51.527238,-0.248893
56p120861,51.513157,-0.15637
56p120862,51.513157,-0.15637
56p120867,51.48496,-0.157119
56p120868,51.51367,-0.153524
56p120873,51.500448,-0.16766
56p120880,52.65531,-0.470276
56p120881,51.50262,-0.234803
56p120886,51.476778,-0.148582
56p120888,51.504826,-0.213018
56p120890,51.532359,-0.169627
56p120894,51.448266,-0.189758
56p120896,51.51536,0.009624
56p120898,51.579053,-0.29552
56p120904,51.513164,-0.149956
56p121010,51.468666,-0.178368
56p121019,51.519379,-0.17401
56p121021,51.500303,-0.061868
56p121026,51.51249,-0.153414
56p121027,51.477688,-0.085479
56p121029,51.532741,-0.177523
56p121031,51.519238,-0.159915
56p121034,51.624759,-0.250206
56p121037,51.51133,-0.094247
56p121041,51.581041,-0.169389
56p121042,51.478027,-0.207614
56p121044,51.546334,-0.110781
56p121046,51.523822,0.178346
56p121048,50.826337,-0.185021
56p121049,51.532896,-0.169616
56p121052,51.529116,-0.115992
56p121057,51.531281,-0.286492
56p121058,51.511814,-0.032743
56p121059,51.51133,-0.094247
56p121060,51.521001,-0.161127
56p121061,51.449219,-0.117253
56p121066,51.512681,-0.15698
56p121067,51.464162,-0.585134
56p121071,51.518253,-0.185034
56p121072,51.524599,-0.222435
56p121073,51.375244,7.7e-05
56p121075,51.51486,-0.166303
56p121084,51.492181,-0.291321
56p121085,51.528621,-0.115955
56p121090,51.516173,-0.150858
56p121096,51.552083,-0.196713
56p121097,51.519894,-0.199297
56p121098,51.61989,0.02938
56p121103,51.502936,-0.235402
56p121108,51.513164,-0.149956
56p121201,51.453301,-0.174547
56p121220,51.514133,-0.126569
56p121221,51.546513,-0.161515
56p121223,51.513157,-0.15637
56p121224,51.501867,-0.285895
56p121225,51.512658,-0.156059
56p121226,51.587694,-0.137475
56p121229,51.513157,-0.15637
56p121232,51.5468,-0.0096
56p121234,51.513157,-0.15637
56p121236,51.519118,-0.171811
56p121238,51.484261,-0.168194
56p121243,51.56087,-0.137333
56p121244,51.51133,-0.094247
56p121245,51.513157,-0.15637
56p121248,51.513157,-0.15637
56p121251,51.521887,-0.257906
56p121254,51.523109,-0.172271
56p121255,51.535369,0.056749
56p121257,51.524207,-0.161416
56p121265,51.51133,-0.094247
56p121271,51.554256,-0.188925
56p121272,51.476063,-0.199195
56p121273,51.538988,-0.117026
56p121275,51.513157,-0.15637
56p121276,51.506305,-0.134167
56p121277,51.508057,-0.149414
56p121278,51.514551,-0.158663
56p121299,51.513157,-0.15637
56p121300,51.512085,-0.131236
56p121303,51.51729,-0.151562
56p121304,51.562753,-0.267462
56p121305,51.483552,-0.171203
56p121307,51.568886,-0.317559
56p121308,51.513992,-0.17291
56p121309,51.513157,-0.15637
56p121313,51.510778,-0.258367
56p121319,51.509619,-0.150374
56p121323,51.516064,-0.162796
56p121325,51.513157,-0.15637
56p121326,51.511672,-0.148287
56p121327,51.51452,-0.122535
56p121328,51.51133,-0.094247
56p121329,51.527533,-0.173406
56p121331,51.648532,-0.082253
56p121402,51.52333,-0.218175
56p121404,51.513329,-0.170678
56p121412,51.501569,-0.161693
56p121413,51.538988,-0.117026
56p121414,51.545344,-0.148522
56p121415,51.51486,-0.166303
56p121416,51.484261,-0.168194
56p121421,51.51343,-0.163421
56p121427,50.308828,-4.040497
56p121428,51.669283,-0.295322
56p121432,51.45536,-0.166476
56p121438,51.471605,-0.13207
56p121439,51.420185,-0.134901
56p121441,51.460363,-0.126929
56p121442,55.923743,-2.967774
56p121449,51.375244,7.7e-05
56p121450,51.476006,-0.14579
56p121453,51.513157,-0.15637
56p121455,51.513157,-0.15637
56p121457,51.468926,-0.257686
56p121458,51.533903,-0.377964
56p121460,51.577705,0.021135
56p121461,51.513992,-0.17291
56p121464,51.515359,-0.188032
56p121470,51.51133,-0.094247
56p121471,51.491888,-0.135764
56p121473,51.514551,-0.158663
56p121475,51.529841,-0.027742
56p121476,51.52766,-0.119944
56p121478,51.513157,-0.15637
56p121481,51.455558,-0.140872
56p121483,51.513157,-0.15637
56p121484,51.514451,-0.1689
56p121485,51.514376,-0.165818
56p121492,51.470817,-0.147019
56p121496,51.484308,-3.165574
56p121497,51.46148,-2.597176
56p121499,51.512879,-0.156424
